CountyName,StateName,StateAbbr,State,County,Year,Month,D,G,L,N,O,R,Total,dPct,rPct,leanD,leanR,unaffiliatedPct,otherPct,dDRPct,rDRPct
Autauga,Alabama,AL,1,1001,2016,11,,,,34310,,,34310,,,,,1,,,
Baldwin,Alabama,AL,1,1003,2016,11,,,,128743,,,128743,,,,,1,,,
Barbour,Alabama,AL,1,1005,2016,11,,,,16218,,,16218,,,,,1,,,
Bibb,Alabama,AL,1,1007,2016,11,,,,12108,,,12108,,,,,1,,,
Blount,Alabama,AL,1,1009,2016,11,,,,34276,,,34276,,,,,1,,,
Bullock,Alabama,AL,1,1011,2016,11,,,,7258,,,7258,,,,,1,,,
Butler,Alabama,AL,1,1013,2016,11,,,,13171,,,13171,,,,,1,,,
Calhoun,Alabama,AL,1,1015,2016,11,,,,67364,,,67364,,,,,1,,,
Chambers,Alabama,AL,1,1017,2016,11,,,,22002,,,22002,,,,,1,,,
Cherokee,Alabama,AL,1,1019,2016,11,,,,15090,,,15090,,,,,1,,,
Chilton,Alabama,AL,1,1021,2016,11,,,,26552,,,26552,,,,,1,,,
Choctaw,Alabama,AL,1,1023,2016,11,,,,10729,,,10729,,,,,1,,,
Clarke,Alabama,AL,1,1025,2016,11,,,,18789,,,18789,,,,,1,,,
Clay,Alabama,AL,1,1027,2016,11,,,,9697,,,9697,,,,,1,,,
Cleburne,Alabama,AL,1,1029,2016,11,,,,9917,,,9917,,,,,1,,,
Coffee,Alabama,AL,1,1031,2016,11,,,,29875,,,29875,,,,,1,,,
Colbert,Alabama,AL,1,1033,2016,11,,,,34745,,,34745,,,,,1,,,
Conecuh,Alabama,AL,1,1035,2016,11,,,,10047,,,10047,,,,,1,,,
Coosa,Alabama,AL,1,1037,2016,11,,,,7824,,,7824,,,,,1,,,
Covington,Alabama,AL,1,1039,2016,11,,,,22702,,,22702,,,,,1,,,
Crenshaw,Alabama,AL,1,1041,2016,11,,,,9525,,,9525,,,,,1,,,
Cullman,Alabama,AL,1,1043,2016,11,,,,50684,,,50684,,,,,1,,,
Dale,Alabama,AL,1,1045,2016,11,,,,28551,,,28551,,,,,1,,,
Dallas,Alabama,AL,1,1047,2016,11,,,,31110,,,31110,,,,,1,,,
DeKalb,Alabama,AL,1,1049,2016,11,,,,37095,,,37095,,,,,1,,,
Elmore,Alabama,AL,1,1051,2016,11,,,,47854,,,47854,,,,,1,,,
Escambia,Alabama,AL,1,1053,2016,11,,,,22294,,,22294,,,,,1,,,
Etowah,Alabama,AL,1,1055,2016,11,,,,62271,,,62271,,,,,1,,,
Fayette,Alabama,AL,1,1057,2016,11,,,,11512,,,11512,,,,,1,,,
Franklin,Alabama,AL,1,1059,2016,11,,,,17386,,,17386,,,,,1,,,
Geneva,Alabama,AL,1,1061,2016,11,,,,16381,,,16381,,,,,1,,,
Greene,Alabama,AL,1,1063,2016,11,,,,7196,,,7196,,,,,1,,,
Hale,Alabama,AL,1,1065,2016,11,,,,12045,,,12045,,,,,1,,,
Henry,Alabama,AL,1,1067,2016,11,,,,11933,,,11933,,,,,1,,,
Houston,Alabama,AL,1,1069,2016,11,,,,61902,,,61902,,,,,1,,,
Jackson,Alabama,AL,1,1071,2016,11,,,,35115,,,35115,,,,,1,,,
Jefferson,Alabama,AL,1,1073,2016,11,,,,413787,,,413787,,,,,1,,,
Lamar,Alabama,AL,1,1075,2016,11,,,,10526,,,10526,,,,,1,,,
Lauderdale,Alabama,AL,1,1077,2016,11,,,,54377,,,54377,,,,,1,,,
Lawrence,Alabama,AL,1,1079,2016,11,,,,22311,,,22311,,,,,1,,,
Lee,Alabama,AL,1,1081,2016,11,,,,88356,,,88356,,,,,1,,,
Limestone,Alabama,AL,1,1083,2016,11,,,,50988,,,50988,,,,,1,,,
Lowndes,Alabama,AL,1,1085,2016,11,,,,10286,,,10286,,,,,1,,,
Macon,Alabama,AL,1,1087,2016,11,,,,17731,,,17731,,,,,1,,,
Madison,Alabama,AL,1,1089,2016,11,,,,234475,,,234475,,,,,1,,,
Marengo,Alabama,AL,1,1091,2016,11,,,,16078,,,16078,,,,,1,,,
Marion,Alabama,AL,1,1093,2016,11,,,,18811,,,18811,,,,,1,,,
Marshall,Alabama,AL,1,1095,2016,11,,,,49785,,,49785,,,,,1,,,
Mobile,Alabama,AL,1,1097,2016,11,,,,259329,,,259329,,,,,1,,,
Monroe,Alabama,AL,1,1099,2016,11,,,,15606,,,15606,,,,,1,,,
Montgomery,Alabama,AL,1,1101,2016,11,,,,142402,,,142402,,,,,1,,,
Morgan,Alabama,AL,1,1103,2016,11,,,,68542,,,68542,,,,,1,,,
Perry,Alabama,AL,1,1105,2016,11,,,,8505,,,8505,,,,,1,,,
Pickens,Alabama,AL,1,1107,2016,11,,,,13295,,,13295,,,,,1,,,
Pike,Alabama,AL,1,1109,2016,11,,,,21363,,,21363,,,,,1,,,
Randolph,Alabama,AL,1,1111,2016,11,,,,15644,,,15644,,,,,1,,,
Russell,Alabama,AL,1,1113,2016,11,,,,31783,,,31783,,,,,1,,,
Shelby,Alabama,AL,1,1117,2016,11,,,,125394,,,125394,,,,,1,,,
St. Clair,Alabama,AL,1,1115,2016,11,,,,52258,,,52258,,,,,1,,,
Sumter,Alabama,AL,1,1119,2016,11,,,,10066,,,10066,,,,,1,,,
Talladega,Alabama,AL,1,1121,2016,11,,,,49067,,,49067,,,,,1,,,
Tallapoosa,Alabama,AL,1,1123,2016,11,,,,28189,,,28189,,,,,1,,,
Tuscaloosa,Alabama,AL,1,1125,2016,11,,,,118207,,,118207,,,,,1,,,
Walker,Alabama,AL,1,1127,2016,11,,,,42761,,,42761,,,,,1,,,
Washington,Alabama,AL,1,1129,2016,11,,,,13396,,,13396,,,,,1,,,
Wilcox,Alabama,AL,1,1131,2016,11,,,,9089,,,9089,,,,,1,,,
Winston,Alabama,AL,1,1133,2016,11,,,,15848,,,15848,,,,,1,,,
Aleutians East,Alaska,AK,2,2013,2016,11,152,0,12,1071,43,211,1489,0.102081934,0.141705843,0.720379147,1.388157895,0.719274681,0.028878442,0.418732782,0.581267218
Aleutians West,Alaska,AK,2,2016,2016,11,577,7,21,1387,101,448,2541,0.227075954,0.17630854,1.287946429,0.776429809,0.545848091,0.039748131,0.562926829,0.437073171
Anchorage,Alaska,AK,2,2020,2016,11,35841,601,4283,111946,6787,57352,216810,0.165310641,0.264526544,0.624930255,1.600178566,0.516332272,0.031303907,0.384588971,0.615411029
Bethel,Alaska,AK,2,2050,2016,11,2573,30,70,5851,534,1164,10222,0.251711994,0.113872041,2.2104811,0.452390206,0.572392878,0.052240266,0.688520203,0.311479797
Bristol Bay,Alaska,AK,2,2060,2016,11,96,2,6,501,26,192,823,0.116646416,0.233292831,0.5,2,0.608748481,0.031591738,0.333333333,0.666666667
Denali,Alaska,AK,2,2068,2016,11,303,22,14,919,77,453,1788,0.169463087,0.253355705,0.668874172,1.495049505,0.513982103,0.043064877,0.400793651,0.599206349
Dillingham,Alaska,AK,2,2070,2016,11,651,10,26,1862,162,408,3119,0.208720744,0.130811157,1.595588235,0.626728111,0.596986214,0.051939724,0.614730878,0.385269122
Fairbanks North Star,Alaska,AK,2,2090,2016,11,9744,244,708,37042,2390,20890,71018,0.137204652,0.294150779,0.466443274,2.143883415,0.521586077,0.03365344,0.318077953,0.681922047
Haines,Alaska,AK,2,2100,2016,11,447,29,16,1270,92,444,2298,0.194516971,0.193211488,1.006756757,0.993288591,0.552654482,0.040034813,0.501683502,0.498316498
Hoonah-Angoon,Alaska,AK,2,2105,2016,11,845,23,25,1875,131,580,3479,0.242885887,0.166714573,1.456896552,0.686390533,0.538947974,0.037654498,0.592982456,0.407017544
Juneau,Alaska,AK,2,2110,2016,11,5020,101,162,13669,716,4312,23980,0.209341118,0.179816514,1.16419295,0.858964143,0.570016681,0.029858215,0.537933991,0.462066009
Kenai Peninsula,Alaska,AK,2,2122,2016,11,4629,176,698,23006,1702,14626,44837,0.103240627,0.326203805,0.31649118,3.159645712,0.513103018,0.037959721,0.24040509,0.75959491
Ketchikan Gateway,Alaska,AK,2,2130,2016,11,1245,44,98,5953,367,2817,10524,0.118301026,0.267673888,0.441959531,2.262650602,0.565659445,0.034872672,0.306499261,0.693500739
Kodiak Island,Alaska,AK,2,2150,2016,11,1130,32,79,5199,292,2891,9623,0.117426998,0.300426063,0.390868212,2.55840708,0.540268108,0.030343968,0.281024621,0.718975379
Kusilvak,Alaska,AK,2,2158,2016,11,976,11,29,2516,291,438,4261,0.229054213,0.102792772,2.228310502,0.448770492,0.59047172,0.068293828,0.690240453,0.309759547
Lake and Peninsula,Alaska,AK,2,2164,2016,11,171,3,15,703,59,249,1200,0.1425,0.2075,0.686746988,1.456140351,0.585833333,0.049166667,0.407142857,0.592857143
Matanuska-Susitna,Alaska,AK,2,2170,2016,11,5521,187,883,35021,2689,25479,69780,0.079120092,0.365133276,0.216688253,4.614924832,0.501877329,0.038535397,0.178096774,0.821903226
Nome,Alaska,AK,2,2180,2016,11,1228,20,44,3428,373,846,5939,0.206768816,0.142448224,1.451536643,0.688925081,0.577201549,0.062805186,0.592092575,0.407907425
North Slope,Alaska,AK,2,2185,2016,11,913,12,43,2722,289,681,4660,0.195922747,0.146137339,1.340675477,0.745892662,0.584120172,0.062017167,0.572772898,0.427227102
Northwest Arctic,Alaska,AK,2,2188,2016,11,1059,13,37,2501,292,553,4455,0.237710438,0.124130191,1.915009042,0.522190746,0.561391695,0.065544332,0.656947891,0.343052109
Petersburg,Alaska,AK,2,2195,2016,11,381,7,17,1592,103,645,2745,0.138797814,0.234972678,0.590697674,1.692913386,0.57996357,0.037522769,0.371345029,0.628654971
Prince of Wales-Hyder,Alaska,AK,2,2198,2016,11,769,21,29,2632,217,969,4637,0.165839983,0.208971318,0.793601651,1.260078023,0.567608367,0.046797498,0.442462601,0.557537399
Sitka,Alaska,AK,2,2220,2016,11,1454,36,52,4112,234,1336,7224,0.201273533,0.184939092,1.088323353,0.918844567,0.569213732,0.032392027,0.521146953,0.478853047
Skagway,Alaska,AK,2,2230,2016,11,271,9,8,639,38,156,1121,0.241748439,0.139161463,1.737179487,0.575645756,0.570026762,0.033898305,0.634660422,0.365339578
Southeast Fairbanks,Alaska,AK,2,2240,2016,11,436,9,45,2799,224,1917,5430,0.080294659,0.353038674,0.227438706,4.396788991,0.515469613,0.041252302,0.185295368,0.814704632
Valdez-Cordova,Alaska,AK,2,2261,2016,11,965,40,89,4379,348,2177,7998,0.120655164,0.272193048,0.443270556,2.255958549,0.547511878,0.043510878,0.307129217,0.692870783
Wrangell,Alaska,AK,2,2275,2016,11,135,4,11,1006,55,531,1742,0.07749713,0.304822044,0.254237288,3.933333333,0.57749713,0.031572905,0.202702703,0.797297297
Yakutat,Alaska,AK,2,2282,2016,11,67,3,5,283,22,82,462,0.145021645,0.177489177,0.817073171,1.223880597,0.612554113,0.047619048,0.44966443,0.55033557
Yukon-Koyukuk,Alaska,AK,2,2290,2016,11,920,10,29,2450,224,722,4355,0.211251435,0.165786452,1.274238227,0.784782609,0.562571757,0.051435132,0.560292326,0.439707674
Arkansas,Arkansas,AR,5,5001,2016,11,,,,10136,,,10136,,,,,1,,,
Ashley,Arkansas,AR,5,5003,2016,11,,,,12366,,,12366,,,,,1,,,
Baxter,Arkansas,AR,5,5005,2016,11,,,,27920,,,27920,,,,,1,,,
Benton,Arkansas,AR,5,5007,2016,11,,,,136265,,,136265,,,,,1,,,
Boone,Arkansas,AR,5,5009,2016,11,,,,23509,,,23509,,,,,1,,,
Bradley,Arkansas,AR,5,5011,2016,11,,,,5322,,,5322,,,,,1,,,
Calhoun,Arkansas,AR,5,5013,2016,11,,,,3299,,,3299,,,,,1,,,
Carroll,Arkansas,AR,5,5015,2016,11,,,,15194,,,15194,,,,,1,,,
Chicot,Arkansas,AR,5,5017,2016,11,,,,6271,,,6271,,,,,1,,,
Clark,Arkansas,AR,5,5019,2016,11,,,,11967,,,11967,,,,,1,,,
Clay,Arkansas,AR,5,5021,2016,11,,,,8133,,,8133,,,,,1,,,
Cleburne,Arkansas,AR,5,5023,2016,11,,,,17738,,,17738,,,,,1,,,
Cleveland,Arkansas,AR,5,5025,2016,11,,,,4825,,,4825,,,,,1,,,
Columbia,Arkansas,AR,5,5027,2016,11,,,,13980,,,13980,,,,,1,,,
Conway,Arkansas,AR,5,5029,2016,11,,,,10927,,,10927,,,,,1,,,
Craighead,Arkansas,AR,5,5031,2016,11,,,,57444,,,57444,,,,,1,,,
Crawford,Arkansas,AR,5,5033,2016,11,,,,31786,,,31786,,,,,1,,,
Crittenden,Arkansas,AR,5,5035,2016,11,,,,29725,,,29725,,,,,1,,,
Cross,Arkansas,AR,5,5037,2016,11,,,,10159,,,10159,,,,,1,,,
Dallas,Arkansas,AR,5,5039,2016,11,,,,4294,,,4294,,,,,1,,,
Desha,Arkansas,AR,5,5041,2016,11,,,,7794,,,7794,,,,,1,,,
Drew,Arkansas,AR,5,5043,2016,11,,,,10257,,,10257,,,,,1,,,
Faulkner,Arkansas,AR,5,5045,2016,11,,,,72013,,,72013,,,,,1,,,
Franklin,Arkansas,AR,5,5047,2016,11,,,,9603,,,9603,,,,,1,,,
Fulton,Arkansas,AR,5,5049,2016,11,,,,6439,,,6439,,,,,1,,,
Garland,Arkansas,AR,5,5051,2016,11,,,,63526,,,63526,,,,,1,,,
Grant,Arkansas,AR,5,5053,2016,11,,,,10658,,,10658,,,,,1,,,
Greene,Arkansas,AR,5,5055,2016,11,,,,19796,,,19796,,,,,1,,,
Hempstead,Arkansas,AR,5,5057,2016,11,,,,11454,,,11454,,,,,1,,,
Hot Spring,Arkansas,AR,5,5059,2016,11,,,,19004,,,19004,,,,,1,,,
Howard,Arkansas,AR,5,5061,2016,11,,,,6891,,,6891,,,,,1,,,
Independence,Arkansas,AR,5,5063,2016,11,,,,21041,,,21041,,,,,1,,,
Izard,Arkansas,AR,5,5065,2016,11,,,,7796,,,7796,,,,,1,,,
Jackson,Arkansas,AR,5,5067,2016,11,,,,8274,,,8274,,,,,1,,,
Jefferson,Arkansas,AR,5,5069,2016,11,,,,41739,,,41739,,,,,1,,,
Johnson,Arkansas,AR,5,5071,2016,11,,,,14285,,,14285,,,,,1,,,
Lafayette,Arkansas,AR,5,5073,2016,11,,,,4158,,,4158,,,,,1,,,
Lawrence,Arkansas,AR,5,5075,2016,11,,,,8785,,,8785,,,,,1,,,
Lee,Arkansas,AR,5,5077,2016,11,,,,4904,,,4904,,,,,1,,,
Lincoln,Arkansas,AR,5,5079,2016,11,,,,5882,,,5882,,,,,1,,,
Little River,Arkansas,AR,5,5081,2016,11,,,,7002,,,7002,,,,,1,,,
Logan,Arkansas,AR,5,5083,2016,11,,,,12292,,,12292,,,,,1,,,
Lonoke,Arkansas,AR,5,5085,2016,11,,,,41929,,,41929,,,,,1,,,
Madison,Arkansas,AR,5,5087,2016,11,,,,9501,,,9501,,,,,1,,,
Marion,Arkansas,AR,5,5089,2016,11,,,,9703,,,9703,,,,,1,,,
Miller,Arkansas,AR,5,5091,2016,11,,,,24755,,,24755,,,,,1,,,
Mississippi,Arkansas,AR,5,5093,2016,11,,,,20873,,,20873,,,,,1,,,
Monroe,Arkansas,AR,5,5095,2016,11,,,,4438,,,4438,,,,,1,,,
Montgomery,Arkansas,AR,5,5097,2016,11,,,,4739,,,4739,,,,,1,,,
Nevada,Arkansas,AR,5,5099,2016,11,,,,5629,,,5629,,,,,1,,,
Newton,Arkansas,AR,5,5101,2016,11,,,,5985,,,5985,,,,,1,,,
Ouachita,Arkansas,AR,5,5103,2016,11,,,,16470,,,16470,,,,,1,,,
Perry,Arkansas,AR,5,5105,2016,11,,,,6043,,,6043,,,,,1,,,
Phillips,Arkansas,AR,5,5107,2016,11,,,,12855,,,12855,,,,,1,,,
Pike,Arkansas,AR,5,5109,2016,11,,,,5310,,,5310,,,,,1,,,
Poinsett,Arkansas,AR,5,5111,2016,11,,,,12231,,,12231,,,,,1,,,
Polk,Arkansas,AR,5,5113,2016,11,,,,12118,,,12118,,,,,1,,,
Pope,Arkansas,AR,5,5115,2016,11,,,,32469,,,32469,,,,,1,,,
Prairie,Arkansas,AR,5,5117,2016,11,,,,4788,,,4788,,,,,1,,,
Pulaski,Arkansas,AR,5,5119,2016,11,,,,239586,,,239586,,,,,1,,,
Randolph,Arkansas,AR,5,5121,2016,11,,,,10036,,,10036,,,,,1,,,
Saline,Arkansas,AR,5,5125,2016,11,,,,72298,,,72298,,,,,1,,,
Scott,Arkansas,AR,5,5127,2016,11,,,,5158,,,5158,,,,,1,,,
Searcy,Arkansas,AR,5,5129,2016,11,,,,5477,,,5477,,,,,1,,,
